pop_earnings_id,state_id,state_name,state_earning_edu,state_earning_average,state_earning_male,state_earning_female,education_id
30,5,Illinois,Graduate Degree,76258,95641,64162,5
35,7,Ohio,Graduate Degree,69233,83408,60914,5
40,6,Georgia,Graduate Degree,67503,86620,58871,5
45,9,North Carolina,Graduate Degree,63845,85203,54012,5
50,13,Michigan,Graduate Degree,72470,90046,61285,5
55,10,New Jersey,Graduate Degree,91373,110939,74567,5
60,16,Virginia,Graduate Degree,84674,106984,65411,5
65,29,Washington,Graduate Degree,80457,101172,66057,5
70,11,Arizona,Graduate Degree,67140,84402,55394,5
75,12,Tennessee,Graduate Degree,62229,79720,53497,5
80,15,Massachusetts,Graduate Degree,82404,102691,71508,5
85,14,Indiana,Graduate Degree,64207,78707,55776,5
90,18,Missouri,Graduate Degree,62076,77284,53957,5
95,26,Maryland,Graduate Degree,87668,106133,75625,5
100,22,Colorado,Graduate Degree,70373,89110,57521,5
105,17,Wisconsin,Graduate Degree,66536,79154,60231,5
110,21,Minnesota,Graduate Degree,75047,87163,66319,5
115,19,South Carolina,Graduate Degree,59295,76763,52353,5
120,20,Alabama,Graduate Degree,60823,83273,53388,5
125,23,Louisiana,Graduate Degree,60735,80012,52877,5
130,25,Kentucky,Graduate Degree,58942,72541,53915,5
135,38,Oregon,Graduate Degree,68522,85269,58594,5
140,24,Oklahoma,Graduate Degree,60340,77229,49963,5
145,34,Connecticut,Graduate Degree,85052,105204,71445,5
150,27,Utah,Graduate Degree,74609,90628,55912,5
155,52,Puerto Rico,Graduate Degree,37145,45406,32365,5
160,33,Nevada,Graduate Degree,67544,80782,60009,5
165,28,Iowa,Graduate Degree,67050,79523,61037,5
170,30,Arkansas,Graduate Degree,61057,76266,53961,5
175,31,Mississippi,Graduate Degree,55505,71607,50424,5
180,32,Kansas,Graduate Degree,62748,79448,54117,5
185,36,New Mexico,Graduate Degree,62125,79877,55121,5
190,35,Nebraska,Graduate Degree,63653,76298,57074,5
195,37,Idaho,Graduate Degree,62750,76910,51312,5
200,39,West Virginia,Graduate Degree,56808,71106,51815,5
205,50,Hawaii,Graduate Degree,70271,82246,61958,5
210,45,New Hampshire,Graduate Degree,72303,93432,62232,5
215,48,Maine,Graduate Degree,60244,70280,54835,5
220,42,Montana,Graduate Degree,57471,68343,51624,5
225,40,Rhode Island,Graduate Degree,76777,87644,69972,5
230,44,Delaware,Graduate Degree,72013,85304,65156,5
235,41,South Dakota,Graduate Degree,57538,66625,52762,5
240,43,North Dakota,Graduate Degree,65538,77319,59002,5
245,46,Alaska,Graduate Degree,76638,87626,70144,5
255,51,Vermont,Graduate Degree,61517,73233,54726,5
260,47,Wyoming,Graduate Degree,62430,68893,57694,5
